step,E
0,1.5043053826e-04
1,5.2352962782e-05
2,2.8160633807e-05
3,1.7992281616e-05
4,1.2610299382e-05
5,9.3712623258e-06
6,7.2521807348e-06
7,5.7803364047e-06
8,4.7104934411e-06
9,3.9045810223e-06
10,3.2799039962e-06
11,2.7844215234e-06
12,2.3839982457e-06
13,2.0554260391e-06
14,1.7824189806e-06
15,1.5532231479e-06
